token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
64489,ADANIENT29MAY251960PE,ADANIENT,29MAY2025,196000.000000,300,OPTSTK,NFO,5.000000
64505,ADANIENT29MAY252280PE,ADANIENT,29MAY2025,228000.000000,300,OPTSTK,NFO,5.000000
64519,ADANIENT29MAY252560PE,ADANIENT,29MAY2025,256000.000000,300,OPTSTK,NFO,5.000000
64510,ADANIENT29MAY252400CE,ADANIENT,29MAY2025,240000.000000,300,OPTSTK,NFO,5.000000
64511,ADANIENT29MAY252400PE,ADANIENT,29MAY2025,240000.000000,300,OPTSTK,NFO,5.000000
64524,ADANIENT29MAY252680CE,ADANIENT,29MAY2025,268000.000000,300,OPTSTK,NFO,5.000000
66364,ADANIENT29MAY252100PE,ADANIENT,29MAY2025,210000.000000,300,OPTSTK,NFO,5.000000
66377,ADANIENT29MAY252300PE,ADANIENT,29MAY2025,230000.000000,300,OPTSTK,NFO,5.000000
66378,ADANIENT29MAY252340CE,ADANIENT,29MAY2025,234000.000000,300,OPTSTK,NFO,5.000000
66381,ADANIENT29MAY252380PE,ADANIENT,29MAY2025,238000.000000,300,OPTSTK,NFO,5.000000
66386,ADANIENT29MAY252500CE,ADANIENT,29MAY2025,250000.000000,300,OPTSTK,NFO,5.000000
66387,ADANIENT29MAY252500PE,ADANIENT,29MAY2025,250000.000000,300,OPTSTK,NFO,5.000000
66389,ADANIENT29MAY252540PE,ADANIENT,29MAY2025,254000.000000,300,OPTSTK,NFO,5.000000
66382,ADANIENT29MAY252420CE,ADANIENT,29MAY2025,242000.000000,300,OPTSTK,NFO,5.000000
66501,ADANIENT26JUN251920PE,ADANIENT,26JUN2025,192000.000000,300,OPTSTK,NFO,5.000000
66520,ADANIENT26JUN252320CE,ADANIENT,26JUN2025,232000.000000,300,OPTSTK,NFO,5.000000
66522,ADANIENT26JUN252360CE,ADANIENT,26JUN2025,236000.000000,300,OPTSTK,NFO,5.000000
66546,ADANIENT26JUN252480PE,ADANIENT,26JUN2025,248000.000000,300,OPTSTK,NFO,5.000000
66542,ADANIENT26JUN252440PE,ADANIENT,26JUN2025,244000.000000,300,OPTSTK,NFO,5.000000
66660,ADANIENT26JUN252760CE,ADANIENT,26JUN2025,276000.000000,300,OPTSTK,NFO,5.000000
